"","Dataset","Avg.pred.data.split","Avg.pred.kfolds","Avg.mse.data.split","Avg.mse.kfolds","Formula"
"1","simple data",-0.0147082781811198,-0.0356564002680224,51.4768640769687,52.1807332730843,"PSS_Score ~ ratio_good_decisions"
"2","normalized simple data",-0.0155553134987298,-0.0413159543433042,0.036409009481537,0.0359617215852365,"PSS_Score ~ ratio_good_decisions"
"3","scaled simple data",0.0286769787292995,-0.0110965437727296,0.913195871278052,0.975060180510066,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"4","oversampled data",0.121923295199548,0.106209476964907,97.4204093543711,98.341025259806,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"5","normalized oversampled data",0.0999247797911607,0.108771736192378,0.068939209935676,0.0679185337425491,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"6","scaled oversampled data",0.108425758460798,0.107865937099987,0.89163080279852,0.888951887938483,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"7","undersampled data",-0.265094939978173,-0.350879975547046,158.636339233714,164.561336197057,"PSS_Score ~ ratio_good_decisions"
"8","normalized undersampled data",-0.239971151474034,-0.325569693145408,0.115261248713399,0.113870615520958,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"9","scaled undersampled data",0.00559359003794209,-0.0392288450767808,1.00643705059421,0.996037472383069,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"10","hybrid data",0.0682899536762872,0.0684252547731228,105.388806465,104.10782421733,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"11","normalized hybrid data",0.0901526693238269,0.0723330063981605,0.0705233401148516,0.0717703109759074,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
"12","scaled hybrid data",0.0852233976907464,0.0822332648408567,0.894754996234651,0.909885919736859,"PSS_Score ~ ratio_good_decisions + signedSumofDegreesBetweenClicks"
